,Food label,Subs A,Subs B,True label
150,"PREGO PASTA,CHNKY GRDN TMTO,ON & GRLIC ITAL SAU,RTS","CAMPBELL'S SOUP ON THE GO,CREAMY BROCCOLI SOUP","SOUP,VEG SOUP,COND,LO NA,PREP W/ EQ VOLUME H2O",Sub B
151,"BOLOGNA,BF","BOLOGNA,MEAT & POULTRY","FRANKFURTER,CHICK",Sub B
152,"CHORIZO,PORK AND BEEF",HAM  HONEY  SMOKED  CKD,"Frankfurter, meat and poultry, unheated",Sub A
153,"PEPPERONI,PORK,BEEF","SMOKED LINK SAUSAGE,PORK",BLOOD SAUSAGE,Sub A
154,"PORK SAUSAGE,LINK/PATTY,CKD,PAN-FRIED","Frankfurter, meat and poultry, unheated",SAUSAGE  BERLINER  PORK  BF,Sub B
155,SALAMI  ITALIAN  PORK,"USDA CMDTY,LUNCHEON MEAT,CND","HAM,CHOPPED,CANNED",Sub A
156,"BEEF SAUSAGE,PRE-COOKED","TURKEY,PORK,&BF SAUSAGE,LOFAT,SMOKED","LUNCHEON MEAT,PORK W/HAM,MINCED,CND,INCL SPAM (HORMEL)",Sub A
157,"Frankfurter, meat and poultry, unheated",HAM  HONEY  SMOKED  CKD,SAUSAGE  BERLINER  PORK  BF,Sub A
158,"KIELBASA,FULLY CKD,GRILLED","MEATBALLS,FRZ,ITALIAN STYLE","HAM,MINCED",Sub A
159,"CEREALS RTE,GENERAL MILLS,GOLDEN GRAHAMS","INCAPARINA,DRY MIX (CORN & SOY FLOURS),UNPREP","CEREALS,OATS,REG & QUICK,NOT FORT,DRY",Sub A
160,"CEREALS RTE,GENERAL MILLS,HONEY NUT CHEX","CEREALS RTE,GENERAL MILLS,COUNT CHOCULA","CEREALS,OATS,INST,FORT,PLN,DRY",Sub B
161,"CEREALS RTE,GENERAL MILLS,RICE CHEX","INCAPARINA,DRY MIX (CORN & SOY FLOURS),UNPREP","CEREALS,OATS,REG & QUICK,NOT FORT,DRY",Sub A
162,"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES","CEREALS RTE,GENERAL MILLS CORN CHEX","CEREALS RTE,KELLG'S,FRSTD MINI-WHTS,MPLE & BRWN SGR,BTE SZE",Sub B
163,"CEREALS RTE,KELLOGG,KELLOGG'S HONEY SMACKS","CEREALS RTE,KASHI ORGANIC PROMISE,STRAWBERRY FIELDS","CEREALS,QUAKER,OATMEAL,REAL MEDLEYS,BLUEBERRY HAZELNUT,DRY",Sub A
164,"CEREALS,OATS,INST,FORT,W/ RAISINS & SPICE,DRY","CEREALS,OATS,INST,FORT,W/ CINN & SPICE,DRY","CEREALS,WHEATENA,CKD W/ H2O,W/ SALT",Sub B
165,"CEREALS RTE,GENERAL MILLS,FRANKENBERRY","CEREALS RTE,FAMILIA","CEREALS RTE,GENERAL MILLS,MULTI GRAIN CHEERIOS,PNUT BUTTER",Sub A
166,"CEREALS RTE,GENERAL MILLS,COUNT CHOCULA","CEREALS,OATS,INST,FORT,PLN,DRY","CEREALS RTE,GENERAL MILLS,MULTI-GRAIN CHEERIOS",Sub A
167,"CEREALS RTE,GENERAL MILLS,BOO BERRY","CEREALS RTE,QUAKER,SHREDDED WHEAT,BAGGED CRL","CEREALS,OATS,INST,FORT,W/ RAISINS & SPICE,PREP W/ H2O",Sub A
168,"CEREALS RTE,KELLOGG,KELLOGG'S LOFAT GRANOLA W/ RAISINS","CEREALS,RTE,MALT-O-MEAL,BLUEBERRY MINI SPOONERS","CEREALS,KELLOGG'S SPL K NOURISH,MAPLE BROWN SUGAR CRUNCH,DRY",Sub A
169,"CEREALS RTE,POST,WAFFLE CRISP","CEREALS,QUAKER,INST OATMEAL,CINNAMON-SPICE,DRY","CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN ORIGINAL",Sub B
170,"CEREALS RTE,MALT-O-MEAL,BERRY COLOSSAL CRUNCH","CEREALS RTE,GENERAL MILLS,FIBER ONE 80 CAL,HONEY SQUARES","CEREALS,CRM OF WHT,2 1/2 MIN CK,CKD W/H2O,STOVE-TOP,WO/SALT",Sub B
171,"CEREALS RTE,QUAKER,MOTHER'S PNUT BUTTER BUMPERS CRL","CEREALS RTE,KASHI INDIGO MORNING","CEREALS RTE,POST,ALPHA-BITS",Sub A
172,"CEREALS,QUAKER,INST OATMEAL,DINOSAUR EGGS,BROWN SUGAR,DRY","CEREALS RTE,GENERAL MILLS,FIBER ONE,RAISIN BRAN CLUSTERS","CEREALS,WHEATENA,CKD W/ H2O",Sub B
173,"CEREALS,QUAKER,INST GRITS,REDEYE GRVY COUNTRY HAM FLAVOR,DRY","CEREALS RTE,QUAKER,NAT GRANOLA APPL CRANBERRY ALMOND","CEREALS,WHL WHEAT HOT NAT CRL,CKD W/ H2O,W/ SALT",Sub B
174,"CEREALS,QUAKER,INST GRITS PRODUCT W/ AMERICAN CHS FLAVOR,DRY","CEREALS,CRM OF WHT,2 1/2 MIN CK,CKD W/H2O,STOVE-TOP,WO/SALT","CEREALS,CRM OF WHEAT,REG,10 MINUTE COOKING,DRY",Sub B
175,"CEREALS RTE,MALT-O-MEAL,GOLDEN PUFFS","CEREALS,KELLOGG'S SPL K NOURISH,CRANBERRY ALMOND,DRY","CEREALS RTE,MALT-O-MEAL,OAT BLENDERS W/ HONEY",Sub A
176,"CEREALS RTE,MALT-O-MEAL,APPL ZINGS","CEREALS RTE,GENERAL MILLS,APPL CINN CHEX","CEREALS,QUAKER,WHL WHEAT NAT CRL,DRY",Sub B
177,"CEREALS RTE,GENERAL MILLS,25% LESS SUGAR CINN TOAST CRUNCH","CEREALS,QUAKER,INST GRITS,REDEYE GRVY COUNTRY HAM FLAVOR,DRY","CEREALS,WHL WHEAT HOT NAT CRL,CKD W/ H2O,W/ SALT",Sub B
178,"CEREALS RTE,GENERAL MILLS,DORA THE EXPLORER","CEREALS RTE,KASHI HONEY SUNSHINE","CEREALS RTE,QUAKER,LOFAT 100% NAT GRANOLA W/ RAISINS",Sub B
179,"CEREALS RTE,KELLOGG,KELLOGG'S CINNABON CRL","CEREALS,QUAKER,QUICK OATS W/ IRON,DRY","CEREALS RTE,GENERAL MILLS,DORA THE EXPLORER",Sub A
180,"CEREALS RTE,GENERAL MILLS,CHOC CHEX","CEREALS,QUAKER,INST GRITS,BUTTER FLAVOR,DRY","CEREALS RTE,GENERAL MILLS,FIBER ONE 80 CAL,HONEY SQUARES",Sub B
181,"CEREALS RTE,KELLOGG,KELLOGG'S SPL K,CINN PECAN","CEREALS RTE,KELLOGG SCOOBY-DOO! CRL","CEREALS RTE,GENERAL MILLS,OAT CLUSTER CHEERIOS CRUNCH",Sub A
182,"CEREALS RTE,QUAKER,CAP'N CRUNCH'S HALLOWEEN CRUNCH","CEREALS,OATS,INST,FORT,W/ RAISINS & SPICE,DRY","CEREALS RTE,KELLOGG,KELLOGG'S SPL K,CINN PECAN",Sub B
183,"CEREALS RTE,GENERAL MILLS,PNUT BUTTER TOAST CRUNCH","CEREALS RTE,GENERAL MILLS,RICE CHEX","CEREALS RTE,KELLOGG,KELLOGG'S LOFAT GRANOLA WO/ RAISINS",Sub B
184,"CEREALS RTE,KELLOGG'S RICE KRISPIES,GLUTEN FREE","CEREALS,QUAKER,INST OATMEAL,WEIGHT CONTROL,CINN","CEREALS,OATS,INST,FORT,PLN,PREP W/ H2O",Sub B
185,"CEREALS RTE,MALT-O-MEAL,CHOC MARSHMLLW MATEYS","CEREALS,OATS,INST,FORT,W/ RAISINS & SPICE,PREP W/ H2O","CEREALS RTE,FRSTD OAT CRL W/MARSHMALLOWS",Sub A
186,"CEREALS RTE,KELLOGG,KELLOGG'S RAISIN BRAN,CINN ALMOND","CEREALS RTE,POST,ALPHA-BITS","CEREALS RTE,KASHI INDIGO MORNING",Sub B
187,"APPLES,CND,SWTND,SLICED,DRND,HTD","PEARS,RAW","BLACKBERRIES,RAW",Sub B
188,"APRICOTS,RAW","ORANGES,RAW,CALIFORNIA,VALENCIAS","NANCE,CND,SYRUP,DRND",Sub A
189,"APRICOTS,CND,LT SYRUP PK,W/SKN,SOL&LIQUIDS","FIGS,CND,H2O PK,SOL&LIQUIDS","PEARS,RAW,BOSC",Sub B
190,"APRICOTS,CND,HVY SYRUP PK,W/SKN,SOL&LIQUIDS","FIGS,CND,H2O PK,SOL&LIQUIDS","CHERRIES,SWT,CND,H2O PK,SOL&LIQUIDS",Sub A
191,"BANANAS,DEHYD,OR BANANA PDR","STRAWBERRIES,FRZ,UNSWTND","PLUMS,DRIED (PRUNES),UNCKD",Sub A
192,"BLACKBERRY JUC,CND",HORNED MELON (KIWANO),"Grapes, muscadine, raw",Sub B
193,"CHERRIES,TART,DRIED,SWTND","PEARS,RAW","BLUEBERRIES,DRIED,SWTND",Sub A
194,"BLUEBERRIES,RAW","LOGANBERRIES,FROZEN","RAISINS,SEEDED",Sub A
195,"CHERRIES,SOUR,RED,CND,HVY SYRUP PK,SOL&LIQUIDS","APRICOT NECTAR,CND,WO/ VIT C","PEARS,CND,H2O PK,SOL&LIQUIDS",Sub B
196,"CRANBERRIES,DRIED,SWTND","APPLES,CND,SWTND,SLICED,DRND,HTD","BLACKBERRIES,RAW",Sub B
197,"CURRANTS,ZANTE,DRIED","RASPBERRIES,RAW","STRAWBERRIES,RAW",Sub A
198,"FIGS,CND,LT SYRUP PK,SOL&LIQUIDS","FIGS,CND,H2O PK,SOL&LIQUIDS","CHERRIES,SWT,CND,H2O PK,SOL&LIQUIDS",Sub A
199,"FIGS,CND,HVY SYRUP PK,SOL&LIQUIDS","FIGS,CND,H2O PK,SOL&LIQUIDS","APRICOTS,CND,LT SYRUP PK,W/SKN,SOL&LIQUIDS",Sub A
200,"GRAPEFRUIT,RAW,PINK&RED&WHITE,ALL AREAS","LIMES,RAW","CURRANTS,RED&WHITE,RAW",Sub B
201,"GRAPEFRUIT JUC,WHITE,CND,UNSWTND","BOYSENBERRIES,FRZ,UNSWTND","LEMON JUC,CND OR BTLD",Sub A
202,"GRAPEFRUIT JUC,WHITE,CND,SWTND","ORANGE JUC,CHILLED,INCL FROM CONC,W/ ADD CA & VITAMINS A,D,E","APRICOTS,FROZEN,SWEETENED",Sub B
203,"GRAPEFRUIT JUC,WHITE,RAW","STRAWBERRIES,FRZ,UNSWTND","GRAPEFRUIT JUC,WHITE,CND,UNSWTND",Sub A
204,"GRAPE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C","LOGANBERRIES,FROZEN","ORANGE JUICE,RAW",Sub A
205,"GRAPES,AMERICAN TYPE (SLIP SKN),RAW","RASPBERRIES,FRZ,RED,SWTND","BLACKBERRIES,FRZ,UNSWTND",Sub B
206,"GRAPES,RED OR GRN (EURO TYPE,SUCH AS THOMPSON SEEDLESS),RAW","BLACKBERRIES,FRZ,UNSWTND","RASPBERRIES,FRZ,RED,SWTND",Sub A
207,"LEMON JUC,CND OR BTLD","BOYSENBERRIES,FRZ,UNSWTND","STRAWBERRIES,FRZ,UNSWTND",Sub A
208,"LIME JUICE,RAW","RASPBERRIES,RAW","BLACKBERRIES,RAW",Sub A
209,"BLUEBERRIES,DRIED,SWTND","PEARS,RAW","APPLES,CND,SWTND,SLICED,DRND,HTD",Sub A
210,"LITCHIS,RAW","CARAMBOLA,(STARFRUIT),RAW","PINEAPPLE,RAW,ALL VAR",Sub A
211,"MELONS,CANTALOUPE,RAW","LEMONS,RAW,WITHOUT PEEL","FRUIT COCKTAIL,CND,H2O PK,SOL&LIQUIDS",Sub A
212,"MULBERRIES,RAW","PERSIMMONS,JAPANESE,RAW","BLACKBERRIES,FRZ,UNSWTND",Sub B
213,"ORANGE JUICE,RAW","LOGANBERRIES,FROZEN","BLUEBERRIES,RAW",Sub A
214,"ORANGE JUC,FRZ CONC,UNSWTND,UNDIL,W/ ADDED CA","CHERRIES,SOUR,RED,CND,LT SYRUP PK,SOL&LIQUIDS","PRUNE JUICE,CANNED",Sub A
215,"TANGERINES,(MANDARIN ORANGES),RAW","LEMONS,RAW,WITHOUT PEEL","FRUIT COCKTAIL,CND,H2O PK,SOL&LIQUIDS",Sub A
216,"TANGERINE JUICE,RAW","ORANGE JUC,CHILLED,INCL FROM CONC","ACEROLA JUICE,RAW",Sub B
217,"TANGERINE JUC,CND,SWTND","APRICOTS,CND,HVY SYRUP PK,WO/SKN,SOL&LIQUIDS","PEACHES,CND,H2O PK,SOL&LIQUIDS",Sub B
218,"PAPAYAS,RAW","CARAMBOLA,(STARFRUIT),RAW","CURRANTS,RED&WHITE,RAW",Sub B
219,"PAPAYA,CND,HVY SYRUP,DRND","ORANGE PEEL,RAW","GUAVAS,COMMON,RAW",Sub B
220,"PAPAYA NECTAR,CANNED","LOGANBERRIES,FROZEN","APPLES,CND,SWTND,SLICED,DRND,HTD",Sub A
221,"PEACHES,RAW","STRAWBERRIES,RAW","RAISINS,SEEDED",Sub B
222,"PEACHES,CND,HVY SYRUP PK,SOL&LIQUIDS","PEACHES,CND,LT SYRUP PK,SOL&LIQUIDS","PEARS,CND,HVY SYRUP,DRND",Sub B
223,"PEACHES,SPICED,CND,HVY SYRUP PK,SOL&LIQUIDS","PEARS,RAW","POMEGRANATE JUC,BTLD",Sub A
224,"PEACHES,DRIED,SULFURED,UNCKD","PLUMS,DRIED (PRUNES),STWD,WO/ ADDED SUGAR","FIGS,DRIED,STEWED",Sub B
225,"PEARS,CND,HVY SYRUP PK,SOL&LIQUIDS","PEARS,CND,HVY SYRUP,DRND","PEACHES,CND,LT SYRUP PK,SOL&LIQUIDS",Sub A
226,"PEAR NECTAR,CND,WO/ VIT C","FIGS,CND,H2O PK,SOL&LIQUIDS","FRUIT COCKTAIL,CND,HVY SYRUP,DRND",Sub A
227,"PINEAPPLE,RAW,ALL VAR","CURRANTS,RED&WHITE,RAW","CARAMBOLA,(STARFRUIT),RAW",Sub A
228,"PINEAPPLE,CND,H2O PK,SOL&LIQUIDS","CURRANTS,RED&WHITE,RAW","KIWIFRUIT,GRN,RAW",Sub A
229,"PINEAPPLE,CND,JUC PK,SOL&LIQUIDS","LEMONS,RAW,WITHOUT PEEL","MELONS,CANTALOUPE,RAW",Sub A
230,"PINEAPPLE,CND,LT SYRUP PK,SOL&LIQUIDS","CURRANTS,RED&WHITE,RAW","KIWIFRUIT,GRN,RAW",Sub A
231,"PINEAPPLE,CND,HVY SYRUP PK,SOL&LIQUIDS","KIWIFRUIT,GRN,RAW","CURRANTS,RED&WHITE,RAW",Sub B
232,"PINEAPPLE,FRZ,CHUNKS,SWTND","CRANBERRIES,RAW","APRICOTS,RAW",Sub A
233,"PLANTAINS,RAW","PEARS,CND,HVY SYRUP,DRND","NECTARINES,RAW",Sub B
234,"PLANTAINS,COOKED","PEACHES,CND,LT SYRUP PK,SOL&LIQUIDS","NECTARINES,RAW",Sub B
235,"PLUMS,CND,PURPLE,H2O PK,SOL&LIQUIDS","PEARS,CND,HVY SYRUP,DRND","PEACHES,CND,LT SYRUP PK,SOL&LIQUIDS",Sub B
236,"PRUNES,DEHYD (LOW-MOISTURE),UNCKD","BLUEBERRIES,WILD,FRZ","APRICOTS,RAW",Sub A
237,"PLUMS,DRIED (PRUNES),UNCKD","PLUMS,DRIED (PRUNES),STWD,WO/ ADDED SUGAR","STRAWBERRIES,FRZ,UNSWTND",Sub B
238,"PLUMS,DRIED (PRUNES),STWD,W/ ADDED SUGAR","SAPODILLA,RAW","GUAVAS,STRAWBERRY,RAW",Sub B
239,"RAISINS,SEEDLESS","CURRANTS,ZANTE,DRIED","LIME JUICE,RAW",Sub B
240,"RASPBERRIES,FRZ,RED,SWTND","STRAWBERRIES,FRZ,UNSWTND","BLACKBERRIES,FRZ,UNSWTND",Sub B
241,"WATERMELON,RAW","PEARS,RAW,BOSC","ABIYUCH,RAW",Sub B
242,"MARASCHINO CHERRIES,CND,DRND",HORNED MELON (KIWANO),"Grapes, muscadine, raw",Sub B
243,"FRUIT COCKTAIL,CND,HVY SYRUP,DRND","FIGS,CND,H2O PK,SOL&LIQUIDS","PEACHES,CND,JUC PK,SOL&LIQUIDS",Sub A
244,"PEACHES,CND,HVY SYRUP,DRND","PEARS,CND,HVY SYRUP,DRND","PEACHES,CND,LT SYRUP PK,SOL&LIQUIDS",Sub A
245,"PLUMS,CND,HVY SYRUP,DRND","PEACHES,CND,LT SYRUP PK,SOL&LIQUIDS","PEARS,CND,HVY SYRUP,DRND",Sub A
246,"DATES,MEDJOOL","BLUEBERRIES,RAW","RAISINS,SEEDED",Sub B
247,PRUNE PUREE,"BLUEBERRIES,WILD,FRZ","PLUMS,RAW",Sub A
248,"MANGO NECTAR,CND","MULBERRIES,RAW","ORANGE JUC,CHILLED,INCL FROM CONC",Sub A
249,"POMEGRANATE JUC,BTLD","PEARS,RAW","BLACKBERRIES,RAW",Sub B
250,"JUICE,APPL & GRAPE BLEND,W/ ADDED VIT C","ORANGE JUC,CHILLED,INCL FROM CONC","BLACKBERRIES,FRZ,UNSWTND",Sub B
251,"JUICE,APPL,GRAPE & PEAR BLEND,W/ ADDED VIT C & CA","PEACHES,CND,EX HVY SYRUP PK,SOL&LIQUIDS","APRICOTS,CND,H2O PK,WO/SKN,SOL&LIQUIDS",Sub B
252,ORANGE PNAPPL JUC BLEND,"GRAPEFRUIT JUC,WHITE,CND,UNSWTND","LEMON JUC,CND OR BTLD",Sub B
253,"JUICE SMOOTHIE,NAKED JUC,GRN MACHINE","GUAVAS,STRAWBERRY,RAW","SAPODILLA,RAW",Sub A
254,"PORK,FRSH,CARCASS,LN&FAT,RAW","PORK,FRSH,LOIN,CNTR RIB (CHOPS OR ROASTS),BONE-IN,LN&FAT,RAW","PORK,CURED,HAM & H2O PRODUCT,WHL,BNLESS,LN & FAT,HTD,RSTD",Sub A
255,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,LEAF FAT,RAW","PORK,CURED,HAM,SHANK,BONE-IN,LN,UNHTD","PORK,FRSH,SHLDR,BLADE,BOSTON (STEAKS),LN&FAT,CKD,BRLD",Sub B
256,"PORK,CURED,HAM,WHL,LN,RSTD","PORK,FRSH,ENHANCED,LOIN,TENDERLOIN,LN,CKD,RSTD","PORK,FRSH,LOIN,CNTR RIB (ROASTS),BONE-IN,LN&FAT,CKD,RSTD",Sub A
257,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,TAIL,RAW","PORK,FRSH,LOIN,CNTR LOIN (CHOPS),BONE-IN,LN,CKD,BRLD","PORK,FRSH,VAR MEATS&BY-PRODUCTS,STOMACH,RAW",Sub A
258,"PORK,CURED,HAM,BNLESS,EX LN&REG,RSTD","PORK,CURED,HAM W/ NAT JUICES,SLICE,BNLESS,LN,HTD,PAN-BROIL","PORK,FRSH,LOIN,CNTR RIB (CHOPS OR ROASTS),BNLESS,LN,RAW",Sub B
259,"PORK,CURED,HAM,EX LN&REG,CND,RSTD","PORK,FRSH,LOIN,CNTR LOIN (CHOPS),BNLESS,LN,CKD,PAN-BROILED","USDA COMMODITY,PORK,GROUND,FINE/COARSE,FRZ,RAW",Sub A
260,"PORK,FRSH,LOIN,CNTR RIB (ROASTS),BNLESS,LN,CKD,RSTD","PORK,FRSH,VAR MEATS&BY-PRODUCTS,BRAIN,RAW","PORK,FRSH,LEG (HAM),RUMP HALF,LN,RAW",Sub B
261,"PORK,CURED,BACON,CKD,MICROWAVED","PORK,CURED,HAM -- H2O ADDED,SLICE,BONE-IN,LN & FAT,UNHTD","PORK,FRSH,SHLDR,(BOSTON BUTT),BLADE (STEAKS),LN,CKD,BRSD",Sub B
262,"PORK,CURED,HAM & H2O PRODUCT,RUMP,BONE-IN,LN,HTD,RSTD","PORK,FRSH,LOIN,BLADE (CHOPS OR ROASTS),BONE-IN,LN,RAW","PORK,FRSH,LOIN,CNTR RIB (CHOPS),BONE-IN,LN&FAT,CKD,BRSD",Sub A
263,"PORK,CURED,HAM W/ NAT JUICES,SLICE,BONE-IN,LN & FAT,UNHTD","PORK,FRSH,LOIN,BLADE (ROASTS),BONE-IN,LN,CKD,RSTD","PORK,FRSH,LOIN,SIRLOIN (CHOPS OR ROASTS),BONE-IN,LN&FAT,RAW",Sub B
264,"PORK,CURED,HAM & H2O PRODUCT,SHANK,BONE-IN,LN & FAT,UNHTD","PORK,FRSH,ENHANCED,COMP OF FAT,RAW","PORK,FRSH,SHLDR,(BOSTON BUTT),BLADE (STEAKS),LN & FAT,RAW",Sub B
265,"PORK,CURED,HAM -- H2O ADDED,SLICE,BONE-IN,LN & FAT,UNHTD","PORK,FRSH,LEG (HAM),WHL,LN&FAT,CKD,RSTD","PORK,FRSH,SHLDR,(BOSTON BUTT),BLADE (STEAKS),LN,CKD,BRSD",Sub B
266,"PORK,CURED,HAM -- H2O ADDED,SLCE,BNLESS,LN & FAT,HTD,PAN-BRL","PORK,FRSH,ENHCED,SHLDR,(BOSTON BUTT),BLDE (STKS),LN,CKD,BRSD","PORK,CURED,HAM W/ NAT JUICES,SHANK,BONE-IN,LN,UNHTD",Sub A
267,"PORK,CURED,HAM -- H2O ADDED,WHL,BNLESS,LN & FAT,HTD,RSTD","PORK,FRSH,LOIN,CNTR RIB (ROASTS),BONE-IN,LN&FAT,CKD,RSTD","PORK,FRSH,LOIN,BLADE (CHOPS),BONE-IN,LN,CKD,BRSD",Sub B
268,"PORK,CURED,HAM & H2O PRDCT,SLICE,BNLESS,LN & FAT,HTD,PAN-BRL","PORK,FRSH,LEG (HAM),WHL,LN&FAT,CKD,RSTD","PORK,CURED,HAM -- H2O ADDED,SLICE,BNLESS,LN,HTD,PAN-BROIL",Sub A
269,"PORK,GROUND,84% LN / 16% FAT,CKD,PAN-BROILED","PORK,FRSH,LEG (HAM),SHANK HALF,LN&FAT,CKD,RSTD","PORK,FRSH,LEG (HAM),RUMP HALF,LN,RAW",Sub B
270,"PORK,FRSH,LOIN,COUNTRY-STYLE RIBS,LN & FAT,BNLESS,CKD,RSTD","PORK,FRSH,LOIN,WHL,LN,CKD,RSTD","PORK,FRSH,LOIN,CNTR RIB (CHOPS),BNLESS,LN&FAT,CKD,BRLD",Sub A
271,"AMARANTH LEAVES,RAW","SPINACH,RAW","CHIVES,RAW",Sub B
272,"ARROWHEAD,RAW","CHIVES,FREEZE-DRIED","DOCK,RAW",Sub A
273,"ASPARAGUS,RAW","PARSNIPS,RAW","PEAS,GREEN,RAW",Sub B
274,"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,RAW","DOCK,RAW","LAMBSQUARTERS,RAW",Sub B
275,"BAMBOO SHOOTS,CND,DRND SOL","TARO,RAW","DRUMSTICK LEAVES,RAW",Sub B
276,"BEANS,KIDNEY,MATURE SEEDS,SPROUTED,RAW","TURNIP GRNS&TURNIPS,FRZ,CKD,BLD,DRND,WO/SALT","POTATOES,BKD,SKN,W/ SALT",Sub A
277,"BEANS,NAVY,MATURE SEEDS,SPROUTED,RAW","LIMA BNS,IMMAT SEEDS,RAW","BRUSSELS SPROUTS,RAW",Sub A
278,"BEANS,SHELLIE,CND,SOL & LIQUIDS","LIMA BNS,IMMAT SEEDS,RAW","ONIONS,SPRING OR SCALLIONS (INCL TOPS&BULB),RAW",Sub A
279,"BEANS,SNAP,GREEN,RAW","PEPPER,BANANA,RAW","LIMA BNS,IMMAT SEEDS,RAW",Sub B
280,"BEETS,CND,DRND SOL","MUSHROOMS,BROWN,ITALIAN,OR CRIMINI,RAW","MUSHROOMS,PORTABELLA,EXPOSED TO UV LT,GRILLED",Sub B
281,"BROCCOLI,RAW","EDAMAME,FRZ,UNPREP","CHIVES,RAW",Sub A
282,"BURDOCK ROOT,RAW","SALSIFY,(VEG OYSTER),RAW","LOTUS ROOT,RAW",Sub B
283,"BUTTERBUR,(FUKI),RAW","LETTUCE,COS OR ROMAINE,RAW","SPINACH,FRZ,CHOPD OR LEAF,UNPREP",Sub B
284,"CABBAGE,RAW","CHIVES,RAW","BROCCOLI,RAW",Sub A
285,"CABBAGE,RED,RAW","BROCCOLI,RAW","BRUSSELS SPROUTS,RAW",Sub B
286,"CABBAGE,CHINESE (PAK-CHOI),RAW","CABBAGE,RED,RAW","BRUSSELS SPROUTS,RAW",Sub B
287,"CARDOON,RAW","LOTUS ROOT,RAW","LETTUCE,COS OR ROMAINE,RAW",Sub A
288,"CARROTS,RAW","BEET GREENS,RAW","EDAMAME,FRZ,UNPREP",Sub B
289,"CASSAVA,RAW","LETTUCE,BUTTERHEAD (INCL BOSTON&BIBB TYPES),RAW","SOYBEANS,GREEN,RAW",Sub B
290,"CAULIFLOWER,RAW","LIMA BNS,IMMAT SEEDS,RAW","BRUSSELS SPROUTS,RAW",Sub A
291,"CELERIAC,RAW","BEANS,SNAP,GRN,FRZ,ALL STYLES,UNPREP","CORN,SWT,WHITE,CND,WHL KERNEL,NO SALT,SOL&LIQUIDS",Sub A
292,"CELERY,RAW","BEANS,NAVY,MATURE SEEDS,SPROUTED,RAW","PEPPER,BANANA,RAW",Sub B
293,"CELTUCE,RAW","SPINACH,FRZ,CHOPD OR LEAF,UNPREP","LAMBSQUARTERS,RAW",Sub B
294,"CHARD,SWISS,RAW","SWEET POTATO LEAVES,RAW","ENDIVE,RAW",Sub A
295,"CHARD,SWISS,CKD,BLD,DRND,WO/SALT","TURNIP GRNS,FRZ,CKD,BLD,DRND,WO/SALT","OKRA,FRZ,CKD,BLD,DRND,WO/SALT",Sub A
296,"CHAYOTE,FRUIT,RAW","OKRA,RAW","EGGPLANT,RAW",Sub A
297,"CHAYOTE,FRUIT,CKD,BLD,DRND,WO/SALT","TARO,RAW","SALSIFY,(VEG OYSTER),RAW",Sub B
298,"CHICORY,WITLOOF,RAW","TARO LEAVES,RAW","SALSIFY,(VEG OYSTER),RAW",Sub A
299,"CHICORY GREENS,RAW","TARO LEAVES,RAW","LAMBSQUARTERS,RAW",Sub A
300,"CHICORY ROOTS,RAW","LOTUS ROOT,RAW","SWEET POTATO,RAW,UNPREP",Sub A
301,"COLLARDS,RAW","LAMBSQUARTERS,RAW","TARO LEAVES,RAW",Sub B
302,"CORIANDER (CILANTRO) LEAVES,RAW","MUSTARD GREENS,RAW","CHIVES,FREEZE-DRIED",Sub B
303,"CORN,SWT,YEL,CND,BRINE PK,REG PK,SOL&LIQUIDS","DRUMSTICK PODS,CKD,BLD,DRND,WO/ SALT","MUNG BNS,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT",Sub A
304,"COWPEAS,LEAFY TIPS,RAW","COWPEAS,YOUNG PODS W/SEEDS,RAW","GRAPE LEAVES,RAW",Sub B
305,"CRESS,GARDEN,RAW","BRUSSELS SPROUTS,RAW","ONIONS,SPRING OR SCALLIONS (INCL TOPS&BULB),RAW",Sub A
306,"CUCUMBER,WITH PEEL,RAW","CHAYOTE,FRUIT,CKD,BLD,DRND,WO/SALT","COLLARDS,RAW",Sub B
307,"CUCUMBER,PEELED,RAW","SQUASH,SMMR,ALL VAR,RAW","CABBAGE,SAVOY,RAW",Sub B
308,"EGGPLANT,RAW","OKRA,RAW","SOYBEANS,GREEN,RAW",Sub B
309,"EGGPLANT,CKD,BLD,DRND,WO/SALT","LOTUS ROOT,RAW","CHICORY,WITLOOF,RAW",Sub A
310,"ENDIVE,RAW","SWEET POTATO LEAVES,RAW","CHIVES,RAW",Sub A
311,"GINGER ROOT,RAW","SALSIFY,(VEG OYSTER),RAW","LOTUS ROOT,RAW",Sub B
312,"GOURD,DISHCLOTH (TOWELGOURD),CKD,BLD,DRND,WO/SALT","MALABAR SPINACH,COOKED","SUCCOTASH,(CORN&LIMAS),CKD,BLD,DRND,WO/SALT",Sub B
313,"JERUSALEM-ARTICHOKES,RAW","SQUASH,WINTER,HUBBARD,RAW","SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STIR-FRIED",Sub A
