,Food label,Subs A,Subs B
159,"CEREALS RTE,GENERAL MILLS,GOLDEN GRAHAMS","CEREALS,OATS,REG & QUICK,NOT FORT,DRY","INCAPARINA,DRY MIX (CORN & SOY FLOURS),UNPREP"
160,"CEREALS RTE,GENERAL MILLS,HONEY NUT CHEX","CEREALS RTE,GENERAL MILLS,COUNT CHOCULA","CEREALS,OATS,INST,FORT,PLN,DRY"
161,"CEREALS RTE,GENERAL MILLS,RICE CHEX","CEREALS,OATS,REG & QUICK,NOT FORT,DRY","INCAPARINA,DRY MIX (CORN & SOY FLOURS),UNPREP"
162,"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES","CEREALS RTE,KELLG'S,FRSTD MINI-WHTS,MPLE & BRWN SGR,BTE SZE","CEREALS RTE,GENERAL MILLS CORN CHEX"
163,"CEREALS RTE,KELLOGG,KELLOGG'S HONEY SMACKS","CEREALS,QUAKER,OATMEAL,REAL MEDLEYS,BLUEBERRY HAZELNUT,DRY","CEREALS RTE,KASHI ORGANIC PROMISE,STRAWBERRY FIELDS"
164,"CEREALS,OATS,INST,FORT,W/ RAISINS & SPICE,DRY","CEREALS,WHEATENA,CKD W/ H2O,W/ SALT","CEREALS,OATS,INST,FORT,W/ CINN & SPICE,DRY"
165,"CEREALS RTE,GENERAL MILLS,FRANKENBERRY","CEREALS RTE,GENERAL MILLS,MULTI GRAIN CHEERIOS,PNUT BUTTER","CEREALS RTE,FAMILIA"
166,"CEREALS RTE,GENERAL MILLS,COUNT CHOCULA","CEREALS,OATS,INST,FORT,PLN,DRY","CEREALS RTE,GENERAL MILLS,MULTI-GRAIN CHEERIOS"
167,"CEREALS RTE,GENERAL MILLS,BOO BERRY","CEREALS RTE,QUAKER,SHREDDED WHEAT,BAGGED CRL","CEREALS,OATS,INST,FORT,W/ RAISINS & SPICE,PREP W/ H2O"
168,"CEREALS RTE,KELLOGG,KELLOGG'S LOFAT GRANOLA W/ RAISINS","CEREALS,KELLOGG'S SPL K NOURISH,MAPLE BROWN SUGAR CRUNCH,DRY","CEREALS,RTE,MALT-O-MEAL,BLUEBERRY MINI SPOONERS"
169,"CEREALS RTE,POST,WAFFLE CRISP","CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN ORIGINAL","CEREALS,QUAKER,INST OATMEAL,CINNAMON-SPICE,DRY"
170,"CEREALS RTE,MALT-O-MEAL,BERRY COLOSSAL CRUNCH","CEREALS,CRM OF WHT,2 1/2 MIN CK,CKD W/H2O,STOVE-TOP,WO/SALT","CEREALS RTE,GENERAL MILLS,FIBER ONE 80 CAL,HONEY SQUARES"
171,"CEREALS RTE,QUAKER,MOTHER'S PNUT BUTTER BUMPERS CRL","CEREALS RTE,POST,ALPHA-BITS","CEREALS RTE,KASHI INDIGO MORNING"
172,"CEREALS,QUAKER,INST OATMEAL,DINOSAUR EGGS,BROWN SUGAR,DRY","CEREALS RTE,GENERAL MILLS,FIBER ONE,RAISIN BRAN CLUSTERS","CEREALS,WHEATENA,CKD W/ H2O"
173,"CEREALS,QUAKER,INST GRITS,REDEYE GRVY COUNTRY HAM FLAVOR,DRY","CEREALS,WHL WHEAT HOT NAT CRL,CKD W/ H2O,W/ SALT","CEREALS RTE,QUAKER,NAT GRANOLA APPL CRANBERRY ALMOND"
174,"CEREALS,QUAKER,INST GRITS PRODUCT W/ AMERICAN CHS FLAVOR,DRY","CEREALS,CRM OF WHEAT,REG,10 MINUTE COOKING,DRY","CEREALS,CRM OF WHT,2 1/2 MIN CK,CKD W/H2O,STOVE-TOP,WO/SALT"
175,"CEREALS RTE,MALT-O-MEAL,GOLDEN PUFFS","CEREALS,KELLOGG'S SPL K NOURISH,CRANBERRY ALMOND,DRY","CEREALS RTE,MALT-O-MEAL,OAT BLENDERS W/ HONEY"
176,"CEREALS RTE,MALT-O-MEAL,APPL ZINGS","CEREALS,QUAKER,WHL WHEAT NAT CRL,DRY","CEREALS RTE,GENERAL MILLS,APPL CINN CHEX"
177,"CEREALS RTE,GENERAL MILLS,25% LESS SUGAR CINN TOAST CRUNCH","CEREALS,QUAKER,INST GRITS,REDEYE GRVY COUNTRY HAM FLAVOR,DRY","CEREALS,WHL WHEAT HOT NAT CRL,CKD W/ H2O,W/ SALT"
178,"CEREALS RTE,GENERAL MILLS,DORA THE EXPLORER","CEREALS RTE,KASHI HONEY SUNSHINE","CEREALS RTE,QUAKER,LOFAT 100% NAT GRANOLA W/ RAISINS"
179,"CEREALS RTE,KELLOGG,KELLOGG'S CINNABON CRL","CEREALS,QUAKER,QUICK OATS W/ IRON,DRY","CEREALS RTE,GENERAL MILLS,DORA THE EXPLORER"
180,"CEREALS RTE,GENERAL MILLS,CHOC CHEX","CEREALS RTE,GENERAL MILLS,FIBER ONE 80 CAL,HONEY SQUARES","CEREALS,QUAKER,INST GRITS,BUTTER FLAVOR,DRY"
181,"CEREALS RTE,KELLOGG,KELLOGG'S SPL K,CINN PECAN","CEREALS RTE,GENERAL MILLS,OAT CLUSTER CHEERIOS CRUNCH","CEREALS RTE,KELLOGG SCOOBY-DOO! CRL"
182,"CEREALS RTE,QUAKER,CAP'N CRUNCH'S HALLOWEEN CRUNCH","CEREALS RTE,KELLOGG,KELLOGG'S SPL K,CINN PECAN","CEREALS,OATS,INST,FORT,W/ RAISINS & SPICE,DRY"
183,"CEREALS RTE,GENERAL MILLS,PNUT BUTTER TOAST CRUNCH","CEREALS RTE,GENERAL MILLS,RICE CHEX","CEREALS RTE,KELLOGG,KELLOGG'S LOFAT GRANOLA WO/ RAISINS"
184,"CEREALS RTE,KELLOGG'S RICE KRISPIES,GLUTEN FREE","CEREALS,OATS,INST,FORT,PLN,PREP W/ H2O","CEREALS,QUAKER,INST OATMEAL,WEIGHT CONTROL,CINN"
185,"CEREALS RTE,MALT-O-MEAL,CHOC MARSHMLLW MATEYS","CEREALS,OATS,INST,FORT,W/ RAISINS & SPICE,PREP W/ H2O","CEREALS RTE,FRSTD OAT CRL W/MARSHMALLOWS"
186,"CEREALS RTE,KELLOGG,KELLOGG'S RAISIN BRAN,CINN ALMOND","CEREALS RTE,KASHI INDIGO MORNING","CEREALS RTE,POST,ALPHA-BITS"
187,"APPLES,CND,SWTND,SLICED,DRND,HTD","PEARS,RAW","BLACKBERRIES,RAW"
188,"APRICOTS,RAW","NANCE,CND,SYRUP,DRND","ORANGES,RAW,CALIFORNIA,VALENCIAS"
189,"APRICOTS,CND,LT SYRUP PK,W/SKN,SOL&LIQUIDS","PEARS,RAW,BOSC","FIGS,CND,H2O PK,SOL&LIQUIDS"
190,"APRICOTS,CND,HVY SYRUP PK,W/SKN,SOL&LIQUIDS","FIGS,CND,H2O PK,SOL&LIQUIDS","CHERRIES,SWT,CND,H2O PK,SOL&LIQUIDS"
191,"BANANAS,DEHYD,OR BANANA PDR","PLUMS,DRIED (PRUNES),UNCKD","STRAWBERRIES,FRZ,UNSWTND"
192,"BLACKBERRY JUC,CND",HORNED MELON (KIWANO),"Grapes, muscadine, raw"
193,"CHERRIES,TART,DRIED,SWTND","PEARS,RAW","BLUEBERRIES,DRIED,SWTND"
194,"BLUEBERRIES,RAW","RAISINS,SEEDED","LOGANBERRIES,FROZEN"
195,"CHERRIES,SOUR,RED,CND,HVY SYRUP PK,SOL&LIQUIDS","APRICOT NECTAR,CND,WO/ VIT C","PEARS,CND,H2O PK,SOL&LIQUIDS"
196,"CRANBERRIES,DRIED,SWTND","BLACKBERRIES,RAW","APPLES,CND,SWTND,SLICED,DRND,HTD"
197,"CURRANTS,ZANTE,DRIED","STRAWBERRIES,RAW","RASPBERRIES,RAW"
198,"FIGS,CND,LT SYRUP PK,SOL&LIQUIDS","FIGS,CND,H2O PK,SOL&LIQUIDS","CHERRIES,SWT,CND,H2O PK,SOL&LIQUIDS"
199,"FIGS,CND,HVY SYRUP PK,SOL&LIQUIDS","FIGS,CND,H2O PK,SOL&LIQUIDS","APRICOTS,CND,LT SYRUP PK,W/SKN,SOL&LIQUIDS"
200,"GRAPEFRUIT,RAW,PINK&RED&WHITE,ALL AREAS","LIMES,RAW","CURRANTS,RED&WHITE,RAW"
201,"GRAPEFRUIT JUC,WHITE,CND,UNSWTND","LEMON JUC,CND OR BTLD","BOYSENBERRIES,FRZ,UNSWTND"
202,"GRAPEFRUIT JUC,WHITE,CND,SWTND","ORANGE JUC,CHILLED,INCL FROM CONC,W/ ADD CA & VITAMINS A,D,E","APRICOTS,FROZEN,SWEETENED"
203,"GRAPEFRUIT JUC,WHITE,RAW","GRAPEFRUIT JUC,WHITE,CND,UNSWTND","STRAWBERRIES,FRZ,UNSWTND"
204,"GRAPE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C","ORANGE JUICE,RAW","LOGANBERRIES,FROZEN"
205,"GRAPES,AMERICAN TYPE (SLIP SKN),RAW","BLACKBERRIES,FRZ,UNSWTND","RASPBERRIES,FRZ,RED,SWTND"
206,"GRAPES,RED OR GRN (EURO TYPE,SUCH AS THOMPSON SEEDLESS),RAW","RASPBERRIES,FRZ,RED,SWTND","BLACKBERRIES,FRZ,UNSWTND"
207,"LEMON JUC,CND OR BTLD","BOYSENBERRIES,FRZ,UNSWTND","STRAWBERRIES,FRZ,UNSWTND"
208,"LIME JUICE,RAW","BLACKBERRIES,RAW","RASPBERRIES,RAW"
209,"BLUEBERRIES,DRIED,SWTND","PEARS,RAW","APPLES,CND,SWTND,SLICED,DRND,HTD"
210,"LITCHIS,RAW","PINEAPPLE,RAW,ALL VAR","CARAMBOLA,(STARFRUIT),RAW"
211,"MELONS,CANTALOUPE,RAW","LEMONS,RAW,WITHOUT PEEL","FRUIT COCKTAIL,CND,H2O PK,SOL&LIQUIDS"
212,"MULBERRIES,RAW","BLACKBERRIES,FRZ,UNSWTND","PERSIMMONS,JAPANESE,RAW"
213,"ORANGE JUICE,RAW","LOGANBERRIES,FROZEN","BLUEBERRIES,RAW"
214,"ORANGE JUC,FRZ CONC,UNSWTND,UNDIL,W/ ADDED CA","PRUNE JUICE,CANNED","CHERRIES,SOUR,RED,CND,LT SYRUP PK,SOL&LIQUIDS"
215,"TANGERINES,(MANDARIN ORANGES),RAW","FRUIT COCKTAIL,CND,H2O PK,SOL&LIQUIDS","LEMONS,RAW,WITHOUT PEEL"
216,"TANGERINE JUICE,RAW","ACEROLA JUICE,RAW","ORANGE JUC,CHILLED,INCL FROM CONC"
217,"TANGERINE JUC,CND,SWTND","PEACHES,CND,H2O PK,SOL&LIQUIDS","APRICOTS,CND,HVY SYRUP PK,WO/SKN,SOL&LIQUIDS"
218,"PAPAYAS,RAW","CARAMBOLA,(STARFRUIT),RAW","CURRANTS,RED&WHITE,RAW"
219,"PAPAYA,CND,HVY SYRUP,DRND","GUAVAS,COMMON,RAW","ORANGE PEEL,RAW"
220,"PAPAYA NECTAR,CANNED","LOGANBERRIES,FROZEN","APPLES,CND,SWTND,SLICED,DRND,HTD"
221,"PEACHES,RAW","STRAWBERRIES,RAW","RAISINS,SEEDED"
222,"PEACHES,CND,HVY SYRUP PK,SOL&LIQUIDS","PEACHES,CND,LT SYRUP PK,SOL&LIQUIDS","PEARS,CND,HVY SYRUP,DRND"
223,"PEACHES,SPICED,CND,HVY SYRUP PK,SOL&LIQUIDS","POMEGRANATE JUC,BTLD","PEARS,RAW"
224,"PEACHES,DRIED,SULFURED,UNCKD","FIGS,DRIED,STEWED","PLUMS,DRIED (PRUNES),STWD,WO/ ADDED SUGAR"
225,"PEARS,CND,HVY SYRUP PK,SOL&LIQUIDS","PEARS,CND,HVY SYRUP,DRND","PEACHES,CND,LT SYRUP PK,SOL&LIQUIDS"
226,"PEAR NECTAR,CND,WO/ VIT C","FIGS,CND,H2O PK,SOL&LIQUIDS","FRUIT COCKTAIL,CND,HVY SYRUP,DRND"
227,"PINEAPPLE,RAW,ALL VAR","CARAMBOLA,(STARFRUIT),RAW","CURRANTS,RED&WHITE,RAW"
228,"PINEAPPLE,CND,H2O PK,SOL&LIQUIDS","CURRANTS,RED&WHITE,RAW","KIWIFRUIT,GRN,RAW"
229,"PINEAPPLE,CND,JUC PK,SOL&LIQUIDS","MELONS,CANTALOUPE,RAW","LEMONS,RAW,WITHOUT PEEL"
230,"PINEAPPLE,CND,LT SYRUP PK,SOL&LIQUIDS","KIWIFRUIT,GRN,RAW","CURRANTS,RED&WHITE,RAW"
231,"PINEAPPLE,CND,HVY SYRUP PK,SOL&LIQUIDS","KIWIFRUIT,GRN,RAW","CURRANTS,RED&WHITE,RAW"
232,"PINEAPPLE,FRZ,CHUNKS,SWTND","CRANBERRIES,RAW","APRICOTS,RAW"
233,"PLANTAINS,RAW","PEARS,CND,HVY SYRUP,DRND","NECTARINES,RAW"
234,"PLANTAINS,COOKED","NECTARINES,RAW","PEACHES,CND,LT SYRUP PK,SOL&LIQUIDS"
235,"PLUMS,CND,PURPLE,H2O PK,SOL&LIQUIDS","PEARS,CND,HVY SYRUP,DRND","PEACHES,CND,LT SYRUP PK,SOL&LIQUIDS"
236,"PRUNES,DEHYD (LOW-MOISTURE),UNCKD","APRICOTS,RAW","BLUEBERRIES,WILD,FRZ"
237,"PLUMS,DRIED (PRUNES),UNCKD","PLUMS,DRIED (PRUNES),STWD,WO/ ADDED SUGAR","STRAWBERRIES,FRZ,UNSWTND"
238,"PLUMS,DRIED (PRUNES),STWD,W/ ADDED SUGAR","SAPODILLA,RAW","GUAVAS,STRAWBERRY,RAW"
239,"RAISINS,SEEDLESS","LIME JUICE,RAW","CURRANTS,ZANTE,DRIED"
240,"RASPBERRIES,FRZ,RED,SWTND","BLACKBERRIES,FRZ,UNSWTND","STRAWBERRIES,FRZ,UNSWTND"
241,"WATERMELON,RAW","PEARS,RAW,BOSC","ABIYUCH,RAW"
242,"MARASCHINO CHERRIES,CND,DRND","Grapes, muscadine, raw",HORNED MELON (KIWANO)
243,"FRUIT COCKTAIL,CND,HVY SYRUP,DRND","PEACHES,CND,JUC PK,SOL&LIQUIDS","FIGS,CND,H2O PK,SOL&LIQUIDS"
244,"PEACHES,CND,HVY SYRUP,DRND","PEARS,CND,HVY SYRUP,DRND","PEACHES,CND,LT SYRUP PK,SOL&LIQUIDS"
245,"PLUMS,CND,HVY SYRUP,DRND","PEARS,CND,HVY SYRUP,DRND","PEACHES,CND,LT SYRUP PK,SOL&LIQUIDS"
246,"DATES,MEDJOOL","BLUEBERRIES,RAW","RAISINS,SEEDED"
247,PRUNE PUREE,"BLUEBERRIES,WILD,FRZ","PLUMS,RAW"
248,"MANGO NECTAR,CND","MULBERRIES,RAW","ORANGE JUC,CHILLED,INCL FROM CONC"
249,"POMEGRANATE JUC,BTLD","BLACKBERRIES,RAW","PEARS,RAW"
250,"JUICE,APPL & GRAPE BLEND,W/ ADDED VIT C","ORANGE JUC,CHILLED,INCL FROM CONC","BLACKBERRIES,FRZ,UNSWTND"
251,"JUICE,APPL,GRAPE & PEAR BLEND,W/ ADDED VIT C & CA","APRICOTS,CND,H2O PK,WO/SKN,SOL&LIQUIDS","PEACHES,CND,EX HVY SYRUP PK,SOL&LIQUIDS"
252,ORANGE PNAPPL JUC BLEND,"LEMON JUC,CND OR BTLD","GRAPEFRUIT JUC,WHITE,CND,UNSWTND"
253,"JUICE SMOOTHIE,NAKED JUC,GRN MACHINE","GUAVAS,STRAWBERRY,RAW","SAPODILLA,RAW"
254,"PORK,FRSH,CARCASS,LN&FAT,RAW","PORK,FRSH,LOIN,CNTR RIB (CHOPS OR ROASTS),BONE-IN,LN&FAT,RAW","PORK,CURED,HAM & H2O PRODUCT,WHL,BNLESS,LN & FAT,HTD,RSTD"
255,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,LEAF FAT,RAW","PORK,CURED,HAM,SHANK,BONE-IN,LN,UNHTD","PORK,FRSH,SHLDR,BLADE,BOSTON (STEAKS),LN&FAT,CKD,BRLD"
256,"PORK,CURED,HAM,WHL,LN,RSTD","PORK,FRSH,LOIN,CNTR RIB (ROASTS),BONE-IN,LN&FAT,CKD,RSTD","PORK,FRSH,ENHANCED,LOIN,TENDERLOIN,LN,CKD,RSTD"
257,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,TAIL,RAW","PORK,FRSH,LOIN,CNTR LOIN (CHOPS),BONE-IN,LN,CKD,BRLD","PORK,FRSH,VAR MEATS&BY-PRODUCTS,STOMACH,RAW"
258,"PORK,CURED,HAM,BNLESS,EX LN&REG,RSTD","PORK,FRSH,LOIN,CNTR RIB (CHOPS OR ROASTS),BNLESS,LN,RAW","PORK,CURED,HAM W/ NAT JUICES,SLICE,BNLESS,LN,HTD,PAN-BROIL"
259,"PORK,CURED,HAM,EX LN&REG,CND,RSTD","USDA COMMODITY,PORK,GROUND,FINE/COARSE,FRZ,RAW","PORK,FRSH,LOIN,CNTR LOIN (CHOPS),BNLESS,LN,CKD,PAN-BROILED"
260,"PORK,FRSH,LOIN,CNTR RIB (ROASTS),BNLESS,LN,CKD,RSTD","PORK,FRSH,LEG (HAM),RUMP HALF,LN,RAW","PORK,FRSH,VAR MEATS&BY-PRODUCTS,BRAIN,RAW"
261,"PORK,CURED,BACON,CKD,MICROWAVED","PORK,FRSH,SHLDR,(BOSTON BUTT),BLADE (STEAKS),LN,CKD,BRSD","PORK,CURED,HAM -- H2O ADDED,SLICE,BONE-IN,LN & FAT,UNHTD"
262,"PORK,CURED,HAM & H2O PRODUCT,RUMP,BONE-IN,LN,HTD,RSTD","PORK,FRSH,LOIN,BLADE (CHOPS OR ROASTS),BONE-IN,LN,RAW","PORK,FRSH,LOIN,CNTR RIB (CHOPS),BONE-IN,LN&FAT,CKD,BRSD"
263,"PORK,CURED,HAM W/ NAT JUICES,SLICE,BONE-IN,LN & FAT,UNHTD","PORK,FRSH,LOIN,BLADE (ROASTS),BONE-IN,LN,CKD,RSTD","PORK,FRSH,LOIN,SIRLOIN (CHOPS OR ROASTS),BONE-IN,LN&FAT,RAW"
264,"PORK,CURED,HAM & H2O PRODUCT,SHANK,BONE-IN,LN & FAT,UNHTD","PORK,FRSH,ENHANCED,COMP OF FAT,RAW","PORK,FRSH,SHLDR,(BOSTON BUTT),BLADE (STEAKS),LN & FAT,RAW"
265,"PORK,CURED,HAM -- H2O ADDED,SLICE,BONE-IN,LN & FAT,UNHTD","PORK,FRSH,LEG (HAM),WHL,LN&FAT,CKD,RSTD","PORK,FRSH,SHLDR,(BOSTON BUTT),BLADE (STEAKS),LN,CKD,BRSD"
266,"PORK,CURED,HAM -- H2O ADDED,SLCE,BNLESS,LN & FAT,HTD,PAN-BRL","PORK,CURED,HAM W/ NAT JUICES,SHANK,BONE-IN,LN,UNHTD","PORK,FRSH,ENHCED,SHLDR,(BOSTON BUTT),BLDE (STKS),LN,CKD,BRSD"
267,"PORK,CURED,HAM -- H2O ADDED,WHL,BNLESS,LN & FAT,HTD,RSTD","PORK,FRSH,LOIN,CNTR RIB (ROASTS),BONE-IN,LN&FAT,CKD,RSTD","PORK,FRSH,LOIN,BLADE (CHOPS),BONE-IN,LN,CKD,BRSD"
268,"PORK,CURED,HAM & H2O PRDCT,SLICE,BNLESS,LN & FAT,HTD,PAN-BRL","PORK,CURED,HAM -- H2O ADDED,SLICE,BNLESS,LN,HTD,PAN-BROIL","PORK,FRSH,LEG (HAM),WHL,LN&FAT,CKD,RSTD"
269,"PORK,GROUND,84% LN / 16% FAT,CKD,PAN-BROILED","PORK,FRSH,LEG (HAM),RUMP HALF,LN,RAW","PORK,FRSH,LEG (HAM),SHANK HALF,LN&FAT,CKD,RSTD"
270,"PORK,FRSH,LOIN,COUNTRY-STYLE RIBS,LN & FAT,BNLESS,CKD,RSTD","PORK,FRSH,LOIN,CNTR RIB (CHOPS),BNLESS,LN&FAT,CKD,BRLD","PORK,FRSH,LOIN,WHL,LN,CKD,RSTD"
271,"AMARANTH LEAVES,RAW","SPINACH,RAW","CHIVES,RAW"
272,"ARROWHEAD,RAW","DOCK,RAW","CHIVES,FREEZE-DRIED"
273,"ASPARAGUS,RAW","PEAS,GREEN,RAW","PARSNIPS,RAW"
274,"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,RAW","LAMBSQUARTERS,RAW","DOCK,RAW"
275,"BAMBOO SHOOTS,CND,DRND SOL","DRUMSTICK LEAVES,RAW","TARO,RAW"
276,"BEANS,KIDNEY,MATURE SEEDS,SPROUTED,RAW","POTATOES,BKD,SKN,W/ SALT","TURNIP GRNS&TURNIPS,FRZ,CKD,BLD,DRND,WO/SALT"
277,"BEANS,NAVY,MATURE SEEDS,SPROUTED,RAW","LIMA BNS,IMMAT SEEDS,RAW","BRUSSELS SPROUTS,RAW"
278,"BEANS,SHELLIE,CND,SOL & LIQUIDS","ONIONS,SPRING OR SCALLIONS (INCL TOPS&BULB),RAW","LIMA BNS,IMMAT SEEDS,RAW"
279,"BEANS,SNAP,GREEN,RAW","PEPPER,BANANA,RAW","LIMA BNS,IMMAT SEEDS,RAW"
280,"BEETS,CND,DRND SOL","MUSHROOMS,BROWN,ITALIAN,OR CRIMINI,RAW","MUSHROOMS,PORTABELLA,EXPOSED TO UV LT,GRILLED"
281,"BROCCOLI,RAW","EDAMAME,FRZ,UNPREP","CHIVES,RAW"
282,"BURDOCK ROOT,RAW","LOTUS ROOT,RAW","SALSIFY,(VEG OYSTER),RAW"
283,"BUTTERBUR,(FUKI),RAW","SPINACH,FRZ,CHOPD OR LEAF,UNPREP","LETTUCE,COS OR ROMAINE,RAW"
284,"CABBAGE,RAW","CHIVES,RAW","BROCCOLI,RAW"
285,"CABBAGE,RED,RAW","BRUSSELS SPROUTS,RAW","BROCCOLI,RAW"
286,"CABBAGE,CHINESE (PAK-CHOI),RAW","CABBAGE,RED,RAW","BRUSSELS SPROUTS,RAW"
287,"CARDOON,RAW","LETTUCE,COS OR ROMAINE,RAW","LOTUS ROOT,RAW"
288,"CARROTS,RAW","BEET GREENS,RAW","EDAMAME,FRZ,UNPREP"
289,"CASSAVA,RAW","LETTUCE,BUTTERHEAD (INCL BOSTON&BIBB TYPES),RAW","SOYBEANS,GREEN,RAW"
290,"CAULIFLOWER,RAW","BRUSSELS SPROUTS,RAW","LIMA BNS,IMMAT SEEDS,RAW"
291,"CELERIAC,RAW","CORN,SWT,WHITE,CND,WHL KERNEL,NO SALT,SOL&LIQUIDS","BEANS,SNAP,GRN,FRZ,ALL STYLES,UNPREP"
292,"CELERY,RAW","PEPPER,BANANA,RAW","BEANS,NAVY,MATURE SEEDS,SPROUTED,RAW"
293,"CELTUCE,RAW","SPINACH,FRZ,CHOPD OR LEAF,UNPREP","LAMBSQUARTERS,RAW"
294,"CHARD,SWISS,RAW","SWEET POTATO LEAVES,RAW","ENDIVE,RAW"
295,"CHARD,SWISS,CKD,BLD,DRND,WO/SALT","TURNIP GRNS,FRZ,CKD,BLD,DRND,WO/SALT","OKRA,FRZ,CKD,BLD,DRND,WO/SALT"
296,"CHAYOTE,FRUIT,RAW","OKRA,RAW","EGGPLANT,RAW"
297,"CHAYOTE,FRUIT,CKD,BLD,DRND,WO/SALT","SALSIFY,(VEG OYSTER),RAW","TARO,RAW"
298,"CHICORY,WITLOOF,RAW","TARO LEAVES,RAW","SALSIFY,(VEG OYSTER),RAW"
299,"CHICORY GREENS,RAW","LAMBSQUARTERS,RAW","TARO LEAVES,RAW"
300,"CHICORY ROOTS,RAW","LOTUS ROOT,RAW","SWEET POTATO,RAW,UNPREP"
301,"COLLARDS,RAW","LAMBSQUARTERS,RAW","TARO LEAVES,RAW"
302,"CORIANDER (CILANTRO) LEAVES,RAW","CHIVES,FREEZE-DRIED","MUSTARD GREENS,RAW"
303,"CORN,SWT,YEL,CND,BRINE PK,REG PK,SOL&LIQUIDS","DRUMSTICK PODS,CKD,BLD,DRND,WO/ SALT","MUNG BNS,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT"
304,"COWPEAS,LEAFY TIPS,RAW","GRAPE LEAVES,RAW","COWPEAS,YOUNG PODS W/SEEDS,RAW"
305,"CRESS,GARDEN,RAW","ONIONS,SPRING OR SCALLIONS (INCL TOPS&BULB),RAW","BRUSSELS SPROUTS,RAW"
306,"CUCUMBER,WITH PEEL,RAW","COLLARDS,RAW","CHAYOTE,FRUIT,CKD,BLD,DRND,WO/SALT"
307,"CUCUMBER,PEELED,RAW","CABBAGE,SAVOY,RAW","SQUASH,SMMR,ALL VAR,RAW"
308,"EGGPLANT,RAW","OKRA,RAW","SOYBEANS,GREEN,RAW"
309,"EGGPLANT,CKD,BLD,DRND,WO/SALT","CHICORY,WITLOOF,RAW","LOTUS ROOT,RAW"
310,"ENDIVE,RAW","SWEET POTATO LEAVES,RAW","CHIVES,RAW"
311,"GINGER ROOT,RAW","SALSIFY,(VEG OYSTER),RAW","LOTUS ROOT,RAW"
312,"GOURD,DISHCLOTH (TOWELGOURD),CKD,BLD,DRND,WO/SALT","SUCCOTASH,(CORN&LIMAS),CKD,BLD,DRND,WO/SALT","MALABAR SPINACH,COOKED"
313,"JERUSALEM-ARTICHOKES,RAW","SQUASH,WINTER,HUBBARD,RAW","SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STIR-FRIED"
314,"JEW'S EAR,(PEPEAO),RAW","BEANS,SNAP,YELLOW,RAW","COWPEAS (BLACKEYES),IMMAT SEEDS,CKD,BLD,DRND,W/ SALT"
315,"JUTE,POTHERB,RAW","TARO LEAVES,RAW","CHICORY GREENS,RAW"
316,"LEEKS,(BULB&LOWER LEAF-PORTION),RAW","ONIONS,SPRING OR SCALLIONS (INCL TOPS&BULB),RAW","LIMA BNS,IMMAT SEEDS,RAW"
317,"LETTUCE,BUTTERHEAD (INCL BOSTON&BIBB TYPES),RAW","SOYBEANS,GREEN,RAW","EGGPLANT,RAW"
318,"LETTUCE,COS OR ROMAINE,RAW","LOTUS ROOT,RAW","SPINACH,FRZ,CHOPD OR LEAF,UNPREP"
319,"LETTUCE,GRN LEAF,RAW","LETTUCE,COS OR ROMAINE,RAW","LOTUS ROOT,RAW"
320,"LETTUCE,RED LEAF,RAW","POTATOES,RED,FLESH & SKN,BKD","CHRYSANTHEMUM,GARLAND,CKD,BLD,DRND,WO/SALT"
321,"MOUNTAIN YAM,HAWAII,RAW","SALSIFY,(VEG OYSTER),RAW","LOTUS ROOT,RAW"
322,"MUSHROOMS,CND,DRND SOL","PEAS,GRN,CND,DRND SOL,RINSED IN TAP H2O","CORN,SWT,WHITE,CKD,BLD,DRND,WO/SALT"
323,"MUSTARD SPINACH,(TENDERGREEN),RAW","DOCK,RAW","CHICORY GREENS,RAW"
324,"NEW ZEALAND SPINACH,CKD,BLD,DRND,WO/SALT","LEEKS,(BULB&LOWER LEAF-PORTION),CKD,BLD,DRND,WO/SALT","PICKLES,CUCUMBER,SOUR,LO NA"
325,"OKRA,CKD,BLD,DRND,WO/SALT","DRUMSTICK LEAVES,RAW","TARO LEAVES,RAW"
326,"OKRA,FROZEN,UNPREPARED","TARO LEAVES,RAW","DRUMSTICK LEAVES,RAW"
327,"ONIONS,DEHYDRATED FLAKES","CORNSALAD,RAW","SQUASH,WNTR,HUBBARD,BKD,WO/ SALT"
328,"ONIONS,CND,SOL&LIQUIDS","BALSAM-PEAR (BITTER GOURD),PODS,CKD,BLD,DRND,W/SALT","SQUASH,WNTR,ALL VAR,CKD,BKD,WO/SALT"
329,"ONIONS,YEL,SAUTEED","LAMBSQUARTERS,RAW","CHICORY GREENS,RAW"
330,"ONIONS,FRZ,CHOPD,CKD,BLD,DRND,WO/SALT","KALE,CKD,BLD,DRND,WO/SALT","COWPEAS (BLACKEYES),IMMAT SEEDS,FRZ,CKD,BLD,DRND,W/ SALT"
