,u,v,Food id,Substitution id,Scores,Scores (Sigmoid),Food label,Substitution label,Food Nutri-Value,Substitution Nutri-Value
7013,618,1629,http://idea.rpi.edu/heals/kb/usda#04002,http://idea.rpi.edu/heals/kb/usda#07030,-7.214609,0.0007352172,LARD,"HAM,MINCED",20,15
7014,618,1936,http://idea.rpi.edu/heals/kb/usda#04002,http://idea.rpi.edu/heals/kb/usda#08200,1.5559887,0.825777,LARD,"CEREALS,QUAKER,QUAKER MULTIGRAIN OATMEAL,DRY",20,-6
890,637,3592,http://idea.rpi.edu/heals/kb/usda#04034,http://idea.rpi.edu/heals/kb/usda#11851,0.386844,0.5955227,"OIL,SOYBN,SALAD OR COOKING,(PARTIALLY HYDROGENATED)","RUTABAGAS,CKD,BLD,DRND,W/SALT",20,1
893,637,7193,http://idea.rpi.edu/heals/kb/usda#04034,http://idea.rpi.edu/heals/kb/usda#22991,0.386844,0.5955227,"OIL,SOYBN,SALAD OR COOKING,(PARTIALLY HYDROGENATED)","KASHI,STEAM MEAL,SESAME CHICK,FRZ ENTREE",20,-3
1906,639,3034,http://idea.rpi.edu/heals/kb/usda#04038,http://idea.rpi.edu/heals/kb/usda#11151,-2.4903908,0.07653458,"OIL,WHEAT GERM","CHICORY,WITLOOF,RAW",20,-3
1906,639,3034,http://idea.rpi.edu/heals/kb/usda#04038,http://idea.rpi.edu/heals/kb/usda#11151,-2.4903908,0.07653458,"OIL,WHEAT GERM","CHICORY,WITLOOF,RAW",20,-3
926,640,4984,http://idea.rpi.edu/heals/kb/usda#04042,http://idea.rpi.edu/heals/kb/usda#16157,-2.1733594,0.10216846,"OIL,PNUT,SALAD OR COOKING",CHICKPEA FLOUR (BESAN),20,-4
929,640,4870,http://idea.rpi.edu/heals/kb/usda#04042,http://idea.rpi.edu/heals/kb/usda#16031,0.24996926,0.5621689,"OIL,PNUT,SALAD OR COOKING","BEANS,KIDNEY,CALIFORNIA RED,MATURE SEEDS,CKD,BLD,WO/SALT",20,-9
420,642,1605,http://idea.rpi.edu/heals/kb/usda#04047,http://idea.rpi.edu/heals/kb/usda#07004,-1.2423544,0.22402644,"OIL,COCNT",SAUSAGE  BERLINER  PORK  BF,20,13
767,642,4692,http://idea.rpi.edu/heals/kb/usda#04047,http://idea.rpi.edu/heals/kb/usda#15112,1.4455864,0.80931824,"OIL,COCNT","TILEFISH,RAW",20,-4
630,643,4949,http://idea.rpi.edu/heals/kb/usda#04053,http://idea.rpi.edu/heals/kb/usda#16112,-2.2244575,0.09757559,"OIL,OLIVE,SALAD OR COOKING",MISO,20,4
901,643,4885,http://idea.rpi.edu/heals/kb/usda#04053,http://idea.rpi.edu/heals/kb/usda#16046,0.10672118,0.52665496,"OIL,OLIVE,SALAD OR COOKING","BEANS,SML WHITE,MATURE SEEDS,CKD,BLD,WO/SALT",20,-9
666,645,2454,http://idea.rpi.edu/heals/kb/usda#04058,http://idea.rpi.edu/heals/kb/usda#09351,-0.24448068,0.43918246,"OIL,SESAME,SALAD OR COOKING","FRUIT COCKTAIL,CND,HVY SYRUP,DRND",20,2
1914,645,5060,http://idea.rpi.edu/heals/kb/usda#04058,http://idea.rpi.edu/heals/kb/usda#16315,0.20495783,0.55106086,"OIL,SESAME,SALAD OR COOKING","BEANS,BLACK,MATURE SEEDS,CKD,BLD,W/SALT",20,-7
1967,647,3332,http://idea.rpi.edu/heals/kb/usda#04073,http://idea.rpi.edu/heals/kb/usda#11518,-0.28452837,0.42934394,"MARGARINE,REG,HARD,SOYBN (HYDR)","TARO,RAW",28,-3
843,647,4465,http://idea.rpi.edu/heals/kb/usda#04073,http://idea.rpi.edu/heals/kb/usda#14366,0.51801395,0.6266833,"MARGARINE,REG,HARD,SOYBN (HYDR)","TEA,INST,UNSWTND,PDR",28,-6
4660,649,7336,http://idea.rpi.edu/heals/kb/usda#04120,http://idea.rpi.edu/heals/kb/usda#23156,0.5795591,0.64096594,"SALAD DRSNG,FRENCH DRSNG,COMM,REG","BEEF,RIB EYE STK,BNE-IN,LIP-ON,LN,1/8"" FAT,ALL GRDS,CKD,GRLD",22,1
8410,649,2956,http://idea.rpi.edu/heals/kb/usda#04120,http://idea.rpi.edu/heals/kb/usda#11040,0.5842695,0.6420492,"SALAD DRSNG,FRENCH DRSNG,COMM,REG","LIMA BNS,IMMAT SEEDS,FRZ,BABY,CKD,BLD,DRND,WO/SALT",22,-8
7398,670,2199,http://idea.rpi.edu/heals/kb/usda#04518,http://idea.rpi.edu/heals/kb/usda#09021,-1.7898982,0.14308521,"OIL,CORN,INDUSTRIAL & RTL,ALLPURP SALAD OR COOKING","APRICOTS,RAW",20,0
7395,670,4874,http://idea.rpi.edu/heals/kb/usda#04518,http://idea.rpi.edu/heals/kb/usda#16035,2.120785,0.892907,"OIL,CORN,INDUSTRIAL & RTL,ALLPURP SALAD OR COOKING","BEANS,KIDNEY,ROYAL RED,MATURE SEEDS,RAW",20,-6
6934,673,225,http://idea.rpi.edu/heals/kb/usda#04529,http://idea.rpi.edu/heals/kb/usda#01270,-1.851236,0.13572785,"OIL,ALMOND","CHEESE,CHEDDAR,SHARP,SLICED",18,17
6931,673,4862,http://idea.rpi.edu/heals/kb/usda#04529,http://idea.rpi.edu/heals/kb/usda#16023,1.6578327,0.83994687,"OIL,ALMOND","BEANS,FRENCH,MATURE SEEDS,CKD,BLD,WO/SALT",18,-8
800,675,1319,http://idea.rpi.edu/heals/kb/usda#04531,http://idea.rpi.edu/heals/kb/usda#06217,2.0306647,0.88397926,"OIL,SOYBN LECITHIN","SOUP,VEG,CND,LO NA,COND",19,1
803,675,2365,http://idea.rpi.edu/heals/kb/usda#04531,http://idea.rpi.edu/heals/kb/usda#09231,2.0306647,0.88397926,"OIL,SOYBN LECITHIN","PASSION-FRUIT,(GRANADILLA),PURPLE,RAW",19,-3
6290,681,7012,http://idea.rpi.edu/heals/kb/usda#04542,http://idea.rpi.edu/heals/kb/usda#21406,3.2540588,0.9628187,"FAT,CHICKEN","MCDONALD'S,PREMIUM GRILLED CHICK RANCH BLT SNDWCH",20,3
6291,681,7652,http://idea.rpi.edu/heals/kb/usda#04542,http://idea.rpi.edu/heals/kb/usda#23506,3.2540588,0.9628187,"FAT,CHICKEN","USDA COMMODITY,BF PATTIES W/VPP,FRZ,RAW",20,1
711,691,3384,http://idea.rpi.edu/heals/kb/usda#04556,http://idea.rpi.edu/heals/kb/usda#11601,-0.41725105,0.39717472,"SHORTENING FRYING (HVY DUTY),PALM (HYDR)","YAM,RAW",20,-3
7044,691,8465,http://idea.rpi.edu/heals/kb/usda#04556,http://idea.rpi.edu/heals/kb/usda#35145,0.4268485,0.6051209,"SHORTENING FRYING (HVY DUTY),PALM (HYDR)","STEW,HOMINY W/ MUTTON (NAVAJO)",20,-5
6405,698,3824,http://idea.rpi.edu/heals/kb/usda#04575,http://idea.rpi.edu/heals/kb/usda#12166,0.28708577,0.57128257,"FAT,TURKEY","SESAME BUTTER,TAHINI,FROM RSTD&TSTD KRNLS (MOST COMMON TYPE)",20,5
6407,698,3689,http://idea.rpi.edu/heals/kb/usda#04575,http://idea.rpi.edu/heals/kb/usda#11953,0.28708577,0.57128257,"FAT,TURKEY","SQUASH,ZUCCHINI,BABY,RAW",20,-2
1948,701,2262,http://idea.rpi.edu/heals/kb/usda#04582,http://idea.rpi.edu/heals/kb/usda#09091,-0.8354869,0.30248615,"OIL,CANOLA","FIGS,CND,LT SYRUP PK,SOL&LIQUIDS",17,2
628,701,5095,http://idea.rpi.edu/heals/kb/usda#04582,http://idea.rpi.edu/heals/kb/usda#16384,0.9804886,0.72720516,"OIL,CANOLA","MUNGO BNS,MATURE SEEDS,CKD,BLD,W/SALT",17,-6
1955,716,4330,http://idea.rpi.edu/heals/kb/usda#04601,http://idea.rpi.edu/heals/kb/usda#14071,0.09247042,0.52310115,"BUTTER,LT,STK,W/SALT","BEVERAGES,GRN TEA,SALADA BREWED FROM BAGS",18,0
1956,716,3700,http://idea.rpi.edu/heals/kb/usda#04601,http://idea.rpi.edu/heals/kb/usda#11964,0.09247042,0.52310115,"BUTTER,LT,STK,W/SALT","NOPALES,CKD,WO/SALT",18,-2
7410,719,697,http://idea.rpi.edu/heals/kb/usda#04609,http://idea.rpi.edu/heals/kb/usda#04574,0.10967222,0.5273906,"ANIMAL FAT,BACON GREASE","FAT,DUCK",21,20
7412,719,4768,http://idea.rpi.edu/heals/kb/usda#04609,http://idea.rpi.edu/heals/kb/usda#15192,0.10967222,0.5273906,"ANIMAL FAT,BACON GREASE","COD,PACIFIC,CKD,DRY HEAT",21,0
823,725,4692,http://idea.rpi.edu/heals/kb/usda#04615,http://idea.rpi.edu/heals/kb/usda#15112,0.3949129,0.5974648,"SHORTENING,VEG,HOUSEHOLD,COMP","TILEFISH,RAW",20,-4
824,725,4940,http://idea.rpi.edu/heals/kb/usda#04615,http://idea.rpi.edu/heals/kb/usda#16102,1.4912322,0.81626314,"SHORTENING,VEG,HOUSEHOLD,COMP","PIGEON PEAS (RED GM),MATURE SEEDS,CKD,BLD,WO/SALT",20,-8
7311,743,4584,http://idea.rpi.edu/heals/kb/usda#04641,http://idea.rpi.edu/heals/kb/usda#15004,-0.2580744,0.43583715,"SALAD DRSNG,MAYO,LT","BASS,STRIPED,RAW",14,-4
7125,743,4908,http://idea.rpi.edu/heals/kb/usda#04641,http://idea.rpi.edu/heals/kb/usda#16070,1.2139183,0.7709915,"SALAD DRSNG,MAYO,LT","LENTILS,MATURE SEEDS,CKD,BLD,WO/SALT",14,-9
761,770,4317,http://idea.rpi.edu/heals/kb/usda#04669,http://idea.rpi.edu/heals/kb/usda#14057,0.7818621,0.68608135,"USDA CMDTY FD,OIL,VEG,SOYBN,REFINED","ALCOHOLIC BEV,WINE,DSSRT,SWT",20,2
760,770,6553,http://idea.rpi.edu/heals/kb/usda#04669,http://idea.rpi.edu/heals/kb/usda#20010,6.545208,0.99856514,"USDA CMDTY FD,OIL,VEG,SOYBN,REFINED","BUCKWHEAT GROATS,RSTD,CKD",20,-3
7015,778,5199,http://idea.rpi.edu/heals/kb/usda#04679,http://idea.rpi.edu/heals/kb/usda#16607,0.5426506,0.6324288,"OIL,PAM COOKING SPRAY,ORIGINAL","MORNINGSTAR FARMS BUFFALO CHIK PATTIES,FRZ,UNPREP",14,2
7018,778,2593,http://idea.rpi.edu/heals/kb/usda#04679,http://idea.rpi.edu/heals/kb/usda#10058,0.5426506,0.6324288,"OIL,PAM COOKING SPRAY,ORIGINAL","PORK,FRSH,LOIN,SIRLOIN (CHOPS),BONE-IN,LN,CKD,BRLD",14,-2
3497,805,308,http://idea.rpi.edu/heals/kb/usda#05000,http://idea.rpi.edu/heals/kb/usda#03009,0.92048275,0.7151405,"CHICKEN,BROILER,ROTISSERIE,BBQ,BREAST MEAT ONLY","BABYFOOD,MEAT,HAM,JUNIOR",-1,-3
3501,805,8457,http://idea.rpi.edu/heals/kb/usda#05000,http://idea.rpi.edu/heals/kb/usda#35137,0.92048275,0.7151405,"CHICKEN,BROILER,ROTISSERIE,BBQ,BREAST MEAT ONLY","CORNMEAL,YEL (NAVAJO)",-1,-5
6348,1002,3720,http://idea.rpi.edu/heals/kb/usda#05219,http://idea.rpi.edu/heals/kb/usda#11986,4.489715,0.9889008,"TURKEY,BREAST,FROM WHL BIRD,NON-ENHANCED,MEAT ONLY,RAW","MALABAR SPINACH,COOKED",-3,-3
6348,1002,3720,http://idea.rpi.edu/heals/kb/usda#05219,http://idea.rpi.edu/heals/kb/usda#11986,4.489715,0.9889008,"TURKEY,BREAST,FROM WHL BIRD,NON-ENHANCED,MEAT ONLY,RAW","MALABAR SPINACH,COOKED",-3,-3
5564,1022,3037,http://idea.rpi.edu/heals/kb/usda#05305,http://idea.rpi.edu/heals/kb/usda#11156,-1.216246,0.22859776,"GROUND TURKEY,RAW","CHIVES,RAW",-2,-4
5560,1022,3397,http://idea.rpi.edu/heals/kb/usda#05305,http://idea.rpi.edu/heals/kb/usda#11621,0.14287381,0.5356578,"GROUND TURKEY,RAW","DRUMSTICK PODS,CKD,BLD,DRND,WO/ SALT",-2,-5
5630,1028,4023,http://idea.rpi.edu/heals/kb/usda#05311,http://idea.rpi.edu/heals/kb/usda#13419,1.6817496,0.8431361,"CHICKEN,CANNED,NO BROTH","BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,CHOIC,CKD,RSTD",4,-2
5630,1028,4023,http://idea.rpi.edu/heals/kb/usda#05311,http://idea.rpi.edu/heals/kb/usda#13419,1.6817496,0.8431361,"CHICKEN,CANNED,NO BROTH","BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,CHOIC,CKD,RSTD",4,-2
6792,1041,7496,http://idea.rpi.edu/heals/kb/usda#05332,http://idea.rpi.edu/heals/kb/usda#23327,0.079353504,0.51982796,"CHICKEN,GROUND,RAW","BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,ALL GRDS,RAW",-2,-3
6792,1041,7496,http://idea.rpi.edu/heals/kb/usda#05332,http://idea.rpi.edu/heals/kb/usda#23327,0.079353504,0.51982796,"CHICKEN,GROUND,RAW","BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,ALL GRDS,RAW",-2,-3
7236,1196,4623,http://idea.rpi.edu/heals/kb/usda#06010,http://idea.rpi.edu/heals/kb/usda#15043,0.96170783,0.7234636,"SOUP,CRM OF CELERY,CND,COND","HERRING,PACIFIC,RAW",6,0
7237,1196,4913,http://idea.rpi.edu/heals/kb/usda#06010,http://idea.rpi.edu/heals/kb/usda#16075,0.96170783,0.7234636,"SOUP,CRM OF CELERY,CND,COND","LIMA BNS,THIN SEEDED (BABY),MATURE SEEDS,CKD,BLD,WO/SALT",6,-9
1467,1201,3777,http://idea.rpi.edu/heals/kb/usda#06015,http://idea.rpi.edu/heals/kb/usda#12093,0.6208907,0.6504211,"SOUP,CHICK,CND,CHUNKY,RTS","CHESTNUTS,CHINESE,RAW",0,0
1467,1201,3777,http://idea.rpi.edu/heals/kb/usda#06015,http://idea.rpi.edu/heals/kb/usda#12093,0.6208907,0.6504211,"SOUP,CHICK,CND,CHUNKY,RTS","CHESTNUTS,CHINESE,RAW",0,0
1476,1202,2915,http://idea.rpi.edu/heals/kb/usda#06016,http://idea.rpi.edu/heals/kb/usda#10988,0.66311646,0.65996015,"SOUP,CRM OF CHICK,CND,COND","PORK,FRSH,BLADE,(CHOPS),BNLESS,LN & FAT,CKD,BRLD",8,0
1477,1202,449,http://idea.rpi.edu/heals/kb/usda#06016,http://idea.rpi.edu/heals/kb/usda#03215,0.66311646,0.65996015,"SOUP,CRM OF CHICK,CND,COND","BABYFOOD,PRETZELS",8,-1
6806,1215,4172,http://idea.rpi.edu/heals/kb/usda#06032,http://idea.rpi.edu/heals/kb/usda#13865,1.4585829,0.81131583,"SOUP,BF BROTH BOUILLON & CONSOMME,CND,COND","BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,CHOIC,CKD,BRLD",6,1
6808,1215,7735,http://idea.rpi.edu/heals/kb/usda#06032,http://idea.rpi.edu/heals/kb/usda#23615,1.4585829,0.81131583,"SOUP,BF BROTH BOUILLON & CONSOMME,CND,COND","BEEF,BRISKET,FLAT HALF,LN,1/8"" FAT,CHOIC,CKD,BRSD",6,-1
6730,1223,8582,http://idea.rpi.edu/heals/kb/usda#06042,http://idea.rpi.edu/heals/kb/usda#36041,1.7018429,0.84577525,"SOUP,MUSHROOM BARLEY,CND,COND","RESTAURANT,ITALIAN,LASAGNA W/ MEAT",6,5
6733,1223,5687,http://idea.rpi.edu/heals/kb/usda#06042,http://idea.rpi.edu/heals/kb/usda#18057,1.7018429,0.84577525,"SOUP,MUSHROOM BARLEY,CND,COND","BREAD,RED-CAL,WHITE",6,-2
6644,1224,2905,http://idea.rpi.edu/heals/kb/usda#06043,http://idea.rpi.edu/heals/kb/usda#10978,1.2435858,0.77618754,"SOUP,CRM OF MUSHROOM,CND,COND","PORK,GROUND,84% LN / 16% FAT,CKD,PAN-BROILED",7,5
6645,1224,3305,http://idea.rpi.edu/heals/kb/usda#06043,http://idea.rpi.edu/heals/kb/usda#11484,1.2435858,0.77618754,"SOUP,CRM OF MUSHROOM,CND,COND","SQUASH,WNTR,ACORN,CKD,BLD,MSHD,WO/SALT",7,-2
9150,1250,3739,http://idea.rpi.edu/heals/kb/usda#06076,http://idea.rpi.edu/heals/kb/usda#12008,0.7290594,0.6745988,"SOUP,BEEF BROTH,CUBED,DRY","COTTONSEED FLR,LOFAT (GLANDLESS)",11,-1
9154,1250,4099,http://idea.rpi.edu/heals/kb/usda#06076,http://idea.rpi.edu/heals/kb/usda#13649,0.7290594,0.6745988,"SOUP,BEEF BROTH,CUBED,DRY","BEEF,SHLDR POT RST OR STEAK,BNLESS,LN,0"" FAT,SEL,RAW",11,-3
9047,1251,263,http://idea.rpi.edu/heals/kb/usda#06080,http://idea.rpi.edu/heals/kb/usda#02026,-0.19358262,0.4517549,"SOUP,CHICK BROTH OR BOUILLON,DRY",ONION POWDER,14,-5
9047,1251,263,http://idea.rpi.edu/heals/kb/usda#06080,http://idea.rpi.edu/heals/kb/usda#02026,-0.19358262,0.4517549,"SOUP,CHICK BROTH OR BOUILLON,DRY",ONION POWDER,14,-5
3393,1262,70,http://idea.rpi.edu/heals/kb/usda#06116,http://idea.rpi.edu/heals/kb/usda#01077,1.0463066,0.7400651,"GRAVY,BF,CND,RTS","MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D",5,1
3391,1262,4914,http://idea.rpi.edu/heals/kb/usda#06116,http://idea.rpi.edu/heals/kb/usda#16076,1.2830187,0.78296316,"GRAVY,BF,CND,RTS","LUPINS,MATURE SEEDS,RAW",5,-5
9200,1264,7590,http://idea.rpi.edu/heals/kb/usda#06118,http://idea.rpi.edu/heals/kb/usda#23423,1.1519432,0.7598657,"GRAVY,BROWN,DRY","BEEF,NZ,IMP,KIDNEY,RAW",10,-3
9203,1264,3222,http://idea.rpi.edu/heals/kb/usda#06118,http://idea.rpi.edu/heals/kb/usda#11380,1.1519432,0.7598657,"GRAVY,BROWN,DRY","POTATOES,MSHD,DEHYD,GRANULES WO/MILK,DRY FORM",10,-6
5255,1281,3740,http://idea.rpi.edu/heals/kb/usda#06150,http://idea.rpi.edu/heals/kb/usda#12011,1.3439103,0.7931323,"SAUCE,BARBECUE","COTTONSEED MEAL,PART DEFATTED (GLANDLESS)",19,0
5255,1281,3740,http://idea.rpi.edu/heals/kb/usda#06150,http://idea.rpi.edu/heals/kb/usda#12011,1.3439103,0.7931323,"SAUCE,BARBECUE","COTTONSEED MEAL,PART DEFATTED (GLANDLESS)",19,0
5185,1283,8524,http://idea.rpi.edu/heals/kb/usda#06152,http://idea.rpi.edu/heals/kb/usda#35211,2.00662,0.8814904,"SAUCE,PIZZA,CND,RTS","CARIBOU,HIND QUARTER,MEAT,CKD (ALASKA NATIVE)",0,-3
5186,1283,5471,http://idea.rpi.edu/heals/kb/usda#06152,http://idea.rpi.edu/heals/kb/usda#17268,2.00662,0.8814904,"SAUCE,PIZZA,CND,RTS","GAME MEAT,BISON,RIBEYE,LN,0""FAT,RAW",0,-4
610,1285,7462,http://idea.rpi.edu/heals/kb/usda#06159,http://idea.rpi.edu/heals/kb/usda#23292,1.7316201,0.8496195,"SOUP,TOMATO,CND,COND","BEEF,TOP LOIN PETITE RST/FILET,BNLS,LN & FAT,1/8"" FAT,SEL,RW",4,-1
611,1285,2733,http://idea.rpi.edu/heals/kb/usda#06159,http://idea.rpi.edu/heals/kb/usda#10216,1.7316201,0.8496195,"SOUP,TOMATO,CND,COND","PORK,FRSH,LOIN,SIRLOIN (CHOPS),BNLESS,LN,CKD,BRLD",4,-2
5220,1286,8721,http://idea.rpi.edu/heals/kb/usda#06164,http://idea.rpi.edu/heals/kb/usda#42185,2.6399279,0.93338746,"SAUCE,SALSA,RTS","YOGURT,FRZ,CHOC,NON-FAT MILK,W/LO CAL SWTNR",6,-1
6773,1286,8407,http://idea.rpi.edu/heals/kb/usda#06164,http://idea.rpi.edu/heals/kb/usda#35046,2.6399279,0.93338746,"SAUCE,SALSA,RTS","FISH,LINGCOD,MEAT,RAW (ALASKA NATIVE)",6,-5
5216,1290,7353,http://idea.rpi.edu/heals/kb/usda#06168,http://idea.rpi.edu/heals/kb/usda#23173,0.86543655,0.70379525,"SAUCE,RTS,PEPPER OR HOT","BEEF,PLATE STEAK,BNLESS,OUTSIDE SKIRT,LN,0"" FAT,SEL,RAW",10,2
5218,1290,8795,http://idea.rpi.edu/heals/kb/usda#06168,http://idea.rpi.edu/heals/kb/usda#43130,0.86543655,0.70379525,"SAUCE,RTS,PEPPER OR HOT","FRANKFURTER,MEATLESS",10,-1
6603,1292,4826,http://idea.rpi.edu/heals/kb/usda#06170,http://idea.rpi.edu/heals/kb/usda#15252,2.4397788,0.9198108,"SOUP,STOCK,BEEF,HOME-PREPARED","USDA COMMODITY,SALMON NUGGETS,CKD AS PURCHASED,UNHTD",1,-1
9146,1292,4792,http://idea.rpi.edu/heals/kb/usda#06170,http://idea.rpi.edu/heals/kb/usda#15216,2.6880429,0.9363174,"SOUP,STOCK,BEEF,HOME-PREPARED","SPOT,COOKED,DRY HEAT",1,-3
6351,1293,6671,http://idea.rpi.edu/heals/kb/usda#06172,http://idea.rpi.edu/heals/kb/usda#20142,1.920053,0.87214434,"SOUP,STOCK,CHICK,HOME-PREPARED","TEFF,UNCKD",0,-6
6351,1293,6671,http://idea.rpi.edu/heals/kb/usda#06172,http://idea.rpi.edu/heals/kb/usda#20142,1.920053,0.87214434,"SOUP,STOCK,CHICK,HOME-PREPARED","TEFF,UNCKD",0,-6
6830,1295,1186,http://idea.rpi.edu/heals/kb/usda#06175,http://idea.rpi.edu/heals/kb/usda#05748,0.62192255,0.6506557,"SAUCE,HOISIN,RTS","CHIKN,BRLR OR FRYRS,BRST,SKNLSS,BNLSS,MEAT OLY,ENHCD,BRSD",14,-2
6830,1295,1186,http://idea.rpi.edu/heals/kb/usda#06175,http://idea.rpi.edu/heals/kb/usda#05748,0.62192255,0.6506557,"SAUCE,HOISIN,RTS","CHIKN,BRLR OR FRYRS,BRST,SKNLSS,BNLSS,MEAT OLY,ENHCD,BRSD",14,-2
6795,1296,1963,http://idea.rpi.edu/heals/kb/usda#06176,http://idea.rpi.edu/heals/kb/usda#08263,2.4018698,0.9169698,"SAUCE,OYSTER,RTS","CEREALS RTE,GENERAL MILLS,APPL CINN CHEERIOS",10,6
6798,1296,6575,http://idea.rpi.edu/heals/kb/usda#06176,http://idea.rpi.edu/heals/kb/usda#20034,13.031359,0.99999785,"SAUCE,OYSTER,RTS","OAT BRAN,COOKED",10,-4
6606,1299,8755,http://idea.rpi.edu/heals/kb/usda#06179,http://idea.rpi.edu/heals/kb/usda#42283,1.6879246,0.843951,"SAUCE,FISH,READY-TO-SERVE","POTATO CHIPS,WHITE,RESTRUCTURED,BKD",7,6
6607,1299,3565,http://idea.rpi.edu/heals/kb/usda#06179,http://idea.rpi.edu/heals/kb/usda#11823,1.6879246,0.843951,"SAUCE,FISH,READY-TO-SERVE","PEPPERS,SWT,RED,CKD,BLD,DRND,WO/SALT",7,-1
1470,1407,3927,http://idea.rpi.edu/heals/kb/usda#06377,http://idea.rpi.edu/heals/kb/usda#13235,0.80855924,0.69180244,"CAMPBELL'S,TOMATO SOUP,COND","BEEF,SHRT LOIN,T-BONE STEAK,BONE-IN,LN,1/8"" FAT,CHOIC,RAW",4,-2
1471,1407,4481,http://idea.rpi.edu/heals/kb/usda#06377,http://idea.rpi.edu/heals/kb/usda#14409,0.80855924,0.69180244,"CAMPBELL'S,TOMATO SOUP,COND","BEVERAGES,ORANGE-FLAVOR DRK,BRKFST TYPE,LO CAL,PDR",4,-4
6360,1447,3783,http://idea.rpi.edu/heals/kb/usda#06432,http://idea.rpi.edu/heals/kb/usda#12099,0.8685688,0.7044478,"SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O","CHESTNUTS,EUROPEAN,DRIED,UNPEELED",1,-4
6360,1447,3783,http://idea.rpi.edu/heals/kb/usda#06432,http://idea.rpi.edu/heals/kb/usda#12099,0.8685688,0.7044478,"SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O","CHESTNUTS,EUROPEAN,DRIED,UNPEELED",1,-4
6597,1529,7830,http://idea.rpi.edu/heals/kb/usda#06615,http://idea.rpi.edu/heals/kb/usda#27001,0.34224465,0.5847357,"SWANSON BROTH,VEG BROTH","SOUP,HOT & SOUR,CHINESE RESTAURANT",4,3
9143,1529,3311,http://idea.rpi.edu/heals/kb/usda#06615,http://idea.rpi.edu/heals/kb/usda#11490,1.3108522,0.7876557,"SWANSON BROTH,VEG BROTH","SQUASH,WNTR,HUBBARD,BKD,WO/ SALT",4,-5
591,1559,8578,http://idea.rpi.edu/heals/kb/usda#06931,http://idea.rpi.edu/heals/kb/usda#36037,0.79964733,0.689899,"SAUCE,PASTA,SPAGHETTI/MARINARA,RTS","RESTAURANT,FAMILY STYLE,CHILI W/ MEAT & BNS",4,3
592,1559,2934,http://idea.rpi.edu/heals/kb/usda#06931,http://idea.rpi.edu/heals/kb/usda#11013,0.79964733,0.689899,"SAUCE,PASTA,SPAGHETTI/MARINARA,RTS","ASPARAGUS,CND,REG PK,SOL&LIQUIDS",4,1
6656,1567,1918,http://idea.rpi.edu/heals/kb/usda#06961,http://idea.rpi.edu/heals/kb/usda#08157,1.1701336,0.76316917,"SAUCE,PEPPERS,HOT,CHILI,MATURE RED,CND","CEREALS RTE,WHEAT,PUFFED,FORT",0,-5
6656,1567,1918,http://idea.rpi.edu/heals/kb/usda#06961,http://idea.rpi.edu/heals/kb/usda#08157,1.1701336,0.76316917,"SAUCE,PEPPERS,HOT,CHILI,MATURE RED,CND","CEREALS RTE,WHEAT,PUFFED,FORT",0,-5
5207,1568,5398,http://idea.rpi.edu/heals/kb/usda#06962,http://idea.rpi.edu/heals/kb/usda#17194,1.8569856,0.86494523,"SAUCE,CHILI,PEPPERS,HOT,IMMAT GRN,CND","VEAL,VAR MEATS&BY-PRODUCTS,HEART,CKD,BRSD",-1,-2
6454,1568,5120,http://idea.rpi.edu/heals/kb/usda#06962,http://idea.rpi.edu/heals/kb/usda#16426,1.8569856,0.86494523,"SAUCE,CHILI,PEPPERS,HOT,IMMAT GRN,CND","TOFU,RAW,FIRM,PREP W/CA SULFATE",-1,-5
6625,1569,1513,http://idea.rpi.edu/heals/kb/usda#06963,http://idea.rpi.edu/heals/kb/usda#06589,1.0734802,0.74525815,FISH BROTH,"CAMPBELL'S SOUP ON THE GO,CREAMY BROCCOLI SOUP",2,2
6628,1569,5105,http://idea.rpi.edu/heals/kb/usda#06963,http://idea.rpi.edu/heals/kb/usda#16402,1.0734802,0.74525815,FISH BROTH,"PIGEON PEAS (RED GM),MATURE SEEDS,CKD,BLD,W/SALT",2,-6
599,1578,4599,http://idea.rpi.edu/heals/kb/usda#06972,http://idea.rpi.edu/heals/kb/usda#15019,-0.16205072,0.4595757,"SAUCE,TOMATO CHILI SAU,BTLD,W/SALT","COD,PACIFIC,RAW",7,-2
6446,1578,3281,http://idea.rpi.edu/heals/kb/usda#06972,http://idea.rpi.edu/heals/kb/usda#11451,3.1463902,0.9587662,"SAUCE,TOMATO CHILI SAU,BTLD,W/SALT","SOYBEANS,GRN,CKD,BLD,DRND,WO/SALT",7,-8
6365,1584,4440,http://idea.rpi.edu/heals/kb/usda#06981,http://idea.rpi.edu/heals/kb/usda#14293,0.66851586,0.6611708,"SOUP,BOUILLON CUBES&GRANULES,LO NA,DRY","LEMONADE,FRZ CONC,WHITE,PREP W/H2O",16,2
